ID,ReviewRating,ProfilePhoto,Tokens,Characters,Paragraphs,Sentences,Sentences per Paragraph,Tokens per Sentence,Characters per Token,Passive Sentences,Review Polarity,Title Depth,Title Polarity,SimilarWords,HardToSpellWords,Nouns,Verbs,Adverbs,Adjectives,NetLingo,Smileys,Hash,SpellMistakes%,StopWords%,SMOG,FLESCH_READING,FLESCH_KINCAID,ARI,COLEMAN_LIAU,GUNNING_FOG,SMOG_INDEX,COMPLEXWORDS,SYLLABLES,AboutDisclosure,BadgeCount,MemberSince,PastRatings,AveragPastRatings,Past Reviews,HelpfulVotes,TotalVotes,Label
2092,10,0,113,523,2,11,5.5,5.7,4.6,74.7,0.693731784,7,-0.534090909,30,3.571428571,0.316043874,0.204498978,0.055772448,0.167317345,0,0.049496783,0.016498928,1.428571429,44.28571429,8.14,79.63,4.369,2.927,6.08,6.4,7.804,10,162,0,2,6,0,0,0,3,4,High
2192,10,1,985,4.713,7,27,3.8,32.7,4.6,46.7,6.792313231,8,0,37.62200532,2.928127773,2.442078898,0.673137132,0.563556669,1.31496556,0,0.09738453,0.013912076,4.79148181,47.64862467,14.707,44.397,16.001,17.815,10.79,18.4,14.1,115,1499,1,11,12,1170,8.434188,1170,3,4,High
2278,10,0,174,741,1,12,12,14.5,4.1,77.3,-2.751829555,6,-0.458333333,29.08163265,2.551020408,0.441938433,0.091435538,0.213349589,0.106674794,0,0.094799567,0.013542795,1.530612245,52.55102041,9.516,77.944,6.011,5.186,6.366,8.8,9.124,15,236,1,3,6,180,8.75,0,3,4,High
2304,10,1,108,519,1,6,6,18,4.6,57.7,2.282341846,5,0,33.59375,2.34375,0.179802218,0.059934073,0.119868145,0.104884627,0,0.093184239,0.013312034,3.90625,49.21875,11.492,61.413,8.562,7.832,10.056,11.2,11.018,15,167,0,4,6,779,7.247754,52,3,4,High
2445,10,0,171,913,5,14,2.8,12.2,5.2,50.9,0.473354733,8,0,45.87628866,1.546391753,0.511322133,0.043827611,0.073046019,0.277574872,0,0.090838308,0.012976901,5.670103093,37.11340206,12.032,49.974,9.323,9.081,12.718,12.4,11.536,34,292,1,3,14,0,0,4720,3,4,High
4255,10,0,126,561,1,9,9,14,4.3,72.4,3.570433047,7,0,32.37410072,2.877697842,0.258212595,0.043035433,0.086070865,0.129106298,0,0.089228808,0.012746973,2.877697842,50.35971223,9.726,71.768,6.727,6.055,7.817,9.2,9.325,12,180,0,2,11,0,0,0,3,4,High
4259,10,0,135,571,1,10,10,13.5,4.1,79,1.554618651,2,0.259353741,30.1369863,2.054794521,0.267342057,0.126635711,0.084423808,0.084423808,0,0.087598548,0.012514078,4.109589041,56.16438356,8.842,77.328,5.852,4.764,6.453,8,8.477,10,186,0,2,11,0,0,0,3,4,High
4262,10,0,116,473,6,10,1.6,11.6,3.9,87.1,0.657716058,9,0,28.14814815,2.222222222,0.235261555,0.05535566,0.13838915,0.069194575,0,0.086143244,0.012306178,1.481481481,48.14814815,7.169,83.265,4.627,2.193,4.238,6.4,6.873,5,158,0,2,11,0,0,0,3,4,High
4266,10,0,207,1.098,3,10,3.3,20.7,5.1,39.9,-1.180585262,5,0.05523215,46.61016949,2.118644068,0.470493346,0.094098669,0.268853341,0.174754671,0,0.095670892,0.011958862,5.508474576,39.40677966,14.265,42.963,12.608,12.607,12.321,15.2,13.677,38,361,0,2,12,0,0,0,3,4,High
4266,10,0,114,549,1,7,7,16.2,4.6,67.8,1.635487898,2,0,36.2962963,1.481481481,0.264655286,0,0.105862115,0.079396586,0,0.094150877,0.01176886,5.185185185,45.92592593,10.914,70.145,7.699,7.849,9.185,10.8,10.464,13,168,0,2,12,0,0,0,3,4,High
4267,10,0,522,2.509,7,17,2.4,30.7,4.7,47.1,4.711073884,5,0.04,39.20552677,3.10880829,0.878060846,0.234974029,0.408112788,0.494682167,0,0.088144557,0.01101807,5.18134715,48.70466321,14.886,46.192,14.547,15.943,11.479,17.6,14.272,72,807,1,6,11,0,0,20,3,4,High
4270,10,0,150,647,1,8,8,18.7,4.1,71.6,-0.6172826,5,0,26.19047619,0,0.218552695,0.109276348,0.121418164,0.109276348,0,0.086542622,0.010817828,1.19047619,57.73809524,9.828,71.535,7.909,7.702,7.985,10,9.423,11,205,0,2,11,0,0,0,3,4,High
4279,10,0,178,787,3,9,3,19.7,4.2,69.9,1.497199405,6,0.916666667,38.42364532,3.448275862,0.297053232,0.118821293,0.142585551,0.154467681,0,0.095268339,0.010585371,4.926108374,46.79802956,9.445,67.465,8.763,8.622,8.414,10,9.055,11,251,0,3,12,0,0,0,3,4,High
4288,10,0,165,730,3,10,3.3,16.5,4.2,68,-0.007896551,5,0,34.94623656,3.225806452,0.314648642,0.046614614,0.081575574,0.139843841,0,0.093428838,0.010380982,3.225806452,50.53763441,10.981,63.121,9.01,7.918,8.438,11.2,10.528,17,244,0,3,11,0,0,0,3,4,High
4294,10,0,207,903,1,12,12,17.2,4.1,73.2,1.209725879,3,0,26.90763052,0.803212851,0.261452768,0.06820507,0.284187791,0.125042628,0,0.091074681,0.010119409,4.819277108,45.78313253,8.842,79.196,6.623,6.042,6.456,8.8,8.477,12,276,0,2,11,0,0,0,3,4,High
5994,8,0,443,2.043,6,26,4.3,16.9,4.4,66.3,5.365611847,10,0.47,32.81553398,1.165048544,0.637699957,0.194552529,0.42153048,0.399913532,0,0.086563432,0.019236318,4.660194175,47.57281553,11.13,66.125,8.374,7.427,8.369,11.2,10.671,51,660,0,3,16,0,0,0,3,4,High
3712,9,0,265,1.154,4,12,3,22,4.2,71.4,2.054561665,1,0,26.19047619,2.721088435,0.367299822,0.146919929,0.262357015,0.199391332,0,0.084182958,0.028060986,1.360544218,58.16326531,10.317,73.133,8.752,9.074,7.017,11.2,9.892,19,359,0,2,10,0,0,18,4,6,High
3783,9,1,262,1.368,1,14,14,18.7,5,44.7,4.724699713,10,0,47.68211921,3.311258278,0.398202981,0.061261997,0.102103329,0.224627323,0,0.081870281,0.027290094,9.933774834,35.7615894,13.348,43.801,11.489,11.087,12.942,14,12.798,48,450,1,4,13,1072,7.81903,1104,4,6,High
3811,10,0,169,752,1,5,5,33.8,4.2,53.3,1.653307815,14,0,29.59183673,3.06122449,0.250601443,0.070168404,0.120288693,0.080192462,0,0.080436143,0.026812048,1.530612245,48.97959184,24.504,-90.878,69.907,86.07,7.96,73.6,23.494,14,247,0,2,11,0,0,0,4,6,High
3948,10,0,143,722,1,11,11,13,4.9,55.7,1.525049436,5,0,37.95180723,3.012048193,0.266719352,0.059270967,0.039513978,0.088906451,0,0.079260238,0.035226772,6.626506024,39.75903614,12.162,58.054,8.839,7.929,9.66,12,11.66,25,234,0,2,10,0,0,0,4,6,High
3962,10,0,128,562,2,2,1,50.5,4,34.1,-0.004763388,4,0.259353741,30.06993007,1.398601399,0.204778157,0.029254022,0.058508045,0.136518771,0,0.078274483,0.034788659,3.496503497,56.64335664,22.919,-46.895,52.344,63.521,8.524,56,21.974,12,187,0,2,10,0,0,0,4,6,High
4227,10,0,128,524,1,6,6,21.3,4,69.5,-0.763050075,5,0,25.89928058,2.158273381,0.173310225,0.096283459,0.086655113,0.077026767,0,0.07733952,0.03437312,1.438848921,59.71223022,10.864,69.721,8.959,7.931,6.265,11.6,10.416,11,178,1,2,11,0,0,0,4,6,High
4237,10,0,300,1.238,3,11,3.6,27.2,4,66,3.637699678,9,0.294404232,29.96941896,3.363914373,0.383320868,0.102842184,0.215033657,0.186985789,0,0.075225677,0.033433634,1.834862385,55.65749235,11.567,66.347,10.961,11.012,6.263,14,11.09,24,408,0,2,11,0,0,0,4,6,High
4257,10,0,173,741,4,9,2.2,19.2,4.1,67.5,0.733333876,6,0,36.64921466,2.617801047,0.257566001,0.036795143,0.110385429,0.0643915,0,0.074043603,0.032908268,5.235602094,48.16753927,9.445,68.982,8.413,7.729,7.645,10,9.055,11,242,0,2,14,0,0,18,4,6,High
4388,10,0,516,2.226,24,34,1.4,15.1,4.1,76.4,1.053933664,10,0,26.12179487,1.121794872,0.648724467,0.324362234,0.47339353,0.245463312,0,0.070428046,0.031301354,0.16025641,50,9.554,75.876,6.578,5.042,6.484,9.2,9.16,43,726,0,2,16,0,0,12,4,6,High
5795,7,0,80,332,1,5,5,16,4,77.4,0.074637948,4,0,23.40425532,1.063829787,0.104429554,0.008702463,0.034809851,0.06091724,0,0.069913773,0.038840985,1.063829787,52.12765957,8.239,79.681,6.17,4.87,5.96,8,7.899,4,106,0,2,15,0,0,0,4,6,High
18,10,1,95,375,1,2,2,47.5,3.8,51.7,2.513461819,2,0.75,28.97196262,1.869158879,0.112204385,0.069048852,0.034524426,0.069048852,0,0.069337442,0.038520801,0.934579439,53.27102804,13.024,3.547,36.365,44.067,6.706,39.2,12.487,3,120,0,2,0,0,0,0,1,1,High
672,10,1,140,610,3,9,3,15.5,4.2,71.1,0.356318109,4,0.166666667,36.41975309,2.469135802,0.196095149,0.034103504,0.04262938,0.068207008,0,0.076091919,0.03804596,3.086419753,45.67901235,9.726,72.002,7.081,5.995,7.77,9.2,9.325,12,197,0,2,1.1,181,9.022099,0,1,1,High
672,10,0,499,2.163,5,24,4.8,20.5,4.1,69.1,1.620232106,10,0.161850987,29.93079585,1.730103806,0.473933649,0.187939206,0.335022062,0.245138094,0,0.080174927,0.036443149,2.595155709,47.75086505,10.172,69.16,8.601,7.957,7.394,10.8,9.753,38,696,0,2,1.1,0,0,0,1,1,High
674,9,1,103,465,4,6,1.5,17.1,4.3,66.2,1.78479119,2,0,30.97345133,2.654867257,0.137763371,0.032414911,0.072933549,0.064829822,0,0.079519988,0.036145449,1.769911504,51.32743363,10.504,66.827,8.162,7.619,8.897,10.4,10.071,10,148,0,3,3.9,633,7.018957,0,1,1,High
674,9,1,125,592,1,6,6,20.8,4.6,61.1,2.213993686,10,-0.083333333,38.34586466,1.503759398,0.160436387,0.056152735,0.040109097,0.112305471,0,0.078762709,0.035801232,3.007518797,49.62406015,12.458,60.634,10.019,10.9,10.5,13.2,11.944,16,186,0,3,9,319,7.39185,0,1,1,High
676,10,1,338,1.516,3,11,3.6,30.7,4.3,61,0.585857502,1,0,34.93670886,2.025316456,0.460469835,0.085850308,0.085850308,0.163896043,0,0.083559641,0.034816517,3.291139241,51.13924051,12.01,58.354,12.117,12.873,8.485,14.4,11.515,29,479,0,2,1.1,0,0,0,1,1,High
676,8,1,86,404,5,9,2.2,9.3,4.5,75.4,-0.662557381,4,0,30.3030303,3.03030303,0.116261045,0.046504418,0.023252209,0.023252209,0,0.082987552,0.034578147,5.050505051,41.41414141,8.842,81.14,4.178,3.218,6.396,8,8.477,10,124,0,2,1.1,43,7.674418,0,1,1,High
676,10,1,115,514,2,6,3,19.1,4.3,65.9,0.706960022,20,-0.100896467,37.00787402,1.57480315,0.168996774,0.038408358,0.030726686,0.023045015,0,0.082265031,0.034277096,3.149606299,51.18110236,11.855,63.958,9.141,8.62,8.689,12.4,11.367,14,169,0,8,1.1,0,0,0,1,1,High
676,10,1,212,895,1,14,14,15.1,4,77.7,5.33460227,13,-0.032139578,33.19148936,0.425531915,0.264570262,0.030236601,0.075591504,0.120946406,0,0.080960734,0.033733639,2.553191489,51.91489362,9.042,75.739,6.457,5.448,7.343,8.8,8.669,15,290,0,2,3.7,313,6.811502,0,1,1,High
677,9,1,812,3.623,7,36,5.1,22.5,4.3,65.9,-3.963807072,13,0.602272727,34.0063762,1.806588735,1.009957326,0.120910384,0.291607397,0.341394026,0,0.088815581,0.03171985,4.038257173,50.37194474,11.098,64.838,9.708,9.633,8.222,12,10.641,72,1156,0,2,5,11,6.727273,0,1,1,High
677,10,1,181,837,3,10,3.3,18.1,4.5,69.2,-0.48477156,1,0,31.55339806,0.970873786,0.189526885,0.091253685,0.070195142,0.084234171,0,0.08766986,0.031310664,2.912621359,51.45631068,10.794,69.618,8.145,8.417,8.957,10.8,10.348,18,259,0,2,3.2,894,7.232662,0,1,1,High
678,10,1,108,672,8,16,2,6.7,5.2,49.5,-2.552747789,1,0,44.11764706,2.941176471,0.167014614,0,0,0.083507307,0,0.086929525,0.031046259,11.76470588,29.41176471,31.116,-54.91,46.755,56.113,16.142,50.8,29.833,24,192,0,2,1.1,11,8.636364,0,1,1,High
681,10,0,200,984,2,17,8.5,11.7,4.4,73,-0.834449565,8,-1.260080926,33.88429752,2.479338843,0.22638403,0.041160733,0.089181587,0.048020855,0,0.085642626,0.030586652,5.371900826,42.56198347,8.344,74.89,5.657,4.115,6.989,7.2,8,15,293,0,2,1.1,0,0,0,1,1,High
683,9,0,266,1.164,3,19,6.3,14,4.2,76.2,1.188698507,8,-0.042657756,21.06918239,1.572327044,0.215459197,0.080797199,0.195259898,0.107729599,0,0.084008401,0.030003,0.628930818,50,9.55,76.165,6.231,4.852,6.017,8.8,9.156,24,377,0,3,14,67,7.686567,0,1,1,High
684,10,1,121,548,3,9,3,13.4,4.4,71.5,0.987307267,5,0,31.34328358,4.47761194,0.093495392,0.053425938,0.073460665,0.020034727,0,0.083338294,0.029763676,3.731343284,51.49253731,9.445,73.63,6.329,6.04,8.145,8.8,9.055,11,171,1,8,2.4,665,7.073684,55,1,1,High
697,10,1,133,657,4,5,1.2,25.8,4.8,50.7,0.535538272,1,0,49.01960784,0,0.138999206,0.00661901,0.059571088,0.059571088,0,0.082586126,0.029495045,16.33986928,35.29411765,13.428,43.407,15.527,17.71,12.199,16.8,12.874,13,205,1,2,7,0,0,0,1,1,High
702,10,0,319,1.375,5,18,3.6,17.7,4.2,72.6,-1.154982783,8,0.008542902,29.85915493,2.535211268,0.200842242,0.123096858,0.181405896,0.09718173,0,0.086670133,0.028890044,1.408450704,50.70422535,10.126,72.329,7.629,7.024,7.562,10,9.708,27,444,0,2,2.11,175,8.72,0,1,1,High
747,10,1,243,1.067,4,9,2.2,27,4.2,60.7,1.11882101,11,0,35.27272727,2.545454545,0.25502072,0.070130698,0.114759324,0.057379662,0,0.085314526,0.028438175,2.545454545,50.90909091,11.208,64.425,10.26,10.574,8.153,12.8,10.746,20,336,0,10,12,3972,7.940584,977,1,1,High
753,10,1,151,656,1,11,11,13.7,4.2,76.3,2.340928262,12,0.18,29.16666667,0.595238095,0.151515152,0.050505051,0.050505051,0.044191919,0,0.084507042,0.028169014,2.976190476,54.16666667,10.126,74.405,6.757,5.602,7.251,9.6,9.708,15,215,0,2,5,64,8.859375,0,1,1,High
754,10,1,567,2.476,2,2,1,275.5,4.3,0,2.633940598,16,-0.181641929,38.27586207,1.724137931,0.633798525,0.085319032,0.097507465,0.225486014,0,0.081833061,0.027277687,4.827586207,57.93103448,30.823,-200.133,111.603,140.68,9.661,116.4,29.552,47,799,1,12,15,4218,6.630157,226,1,1,High
755,10,1,163,790,1,7,7,23.2,4.6,53.4,1.991408625,8,0.314393939,34.03141361,1.047120419,0.144813854,0.036203463,0.084474748,0.072406927,0,0.080989147,0.026996382,1.570680628,43.97905759,13.024,54.728,11.482,11.879,10.116,14,12.487,21,250,0,2,2,0,0,0,1,1,High
755,10,1,860,3.857,10,37,3.7,23.2,4.3,64.9,-3.400012642,3,0,34.30290873,1.805416249,0.876640119,0.108863806,0.240646307,0.286483699,0,0.087099088,0.025617379,3.811434303,50.35105316,11.208,63.628,10.04,10.104,8.401,12,10.746,76,1228,0,2,4.5,297,7.03367,0,1,1,High
758,10,1,111,516,1,3,3,37,4.6,45,-0.382728811,7,0.039306523,39.47368421,2.631578947,0.079708495,0.022773856,0.045547711,0.045547711,0,0.086593317,0.025468623,4.385964912,55.26315789,15.021,42.042,16.67,18.768,11.126,19.2,14.402,13,168,0,10,3.6,340,8.317647,0,1,1,High
780,10,1,115,527,1,2,2,57.5,4.1,27.8,1.935783387,4,0.208333333,30.4,0,0.056541898,0.039579328,0.033925139,0.039579328,0.005061497,0.086045452,0.025307486,0.8,53.6,20.267,-26.136,45.722,55.004,7.252,49.2,19.432,9,158,0,2,3.5,826,5.785714,0,1,1,High
831,8,0,542,2.551,3,33,11,16.4,4.5,66.7,2.861506418,1,0,34.88721805,2.406015038,0.432710741,0.043818809,0.169797886,0.197184642,0.00979336,0.083243561,0.0244834,5.864661654,43.90977444,9.978,69.605,7.906,7.435,8.335,10,9.567,46,792,0,2,2.3,0,0,0,1,1,High
930,10,1,135,702,1,9,9,15,5,54.3,0.296245083,2,0,39.1025641,0,0.130470236,0.01087252,0.043490079,0.070671378,0.009719118,0.082612499,0.024297794,8.333333333,41.66666667,11.645,55.53,9.296,9.456,12.306,11.6,11.165,20,220,0,2,2.6,0,0,0,1,1,High
933,10,0,316,1.399,3,12,4,26.3,4.3,66.5,-1.479452509,4,0.120918575,34.29394813,2.017291066,0.29385051,0.058770102,0.096169258,0.122882941,0.009557945,0.081242533,0.023894863,4.610951009,54.75504323,12.162,61.019,11.332,12.037,8.483,14,11.66,30,447,0,2,2.6,27,6.777778,27,1,1,High
933,10,1,313,1.582,5,14,2.8,22.3,4.9,51.8,4.678447783,5,0,44.54022989,3.16091954,0.288911068,0.052529285,0.042023428,0.152334927,0.009401589,0.079913505,0.023503972,4.885057471,41.66666667,13.371,51.861,11.74,12.625,11.406,14.4,12.82,45,501,0,12,9,1425,8.237193,156,1,1,High
934,10,1,127,578,3,10,3.3,12.7,4.4,70,2.352961905,1,0,29.45205479,1.369863014,0.093896714,0.010432968,0.057381325,0.057381325,0.009337504,0.084037537,0.02334376,3.424657534,50,8.842,75.023,6.099,4.627,6.469,8,8.477,10,186,1,5,2.1,557,6.181329,0,1,1,High
934,10,0,107,581,5,6,1.5,17.5,5,51.2,1.719226975,3,0,45.08196721,3.278688525,0.134854772,0.005186722,0.020746888,0.072614108,0.00928462,0.08356158,0.02321155,4.098360656,37.70491803,13.295,48.582,11.079,11.582,12.915,14,12.747,19,183,0,2,2.6,0,0,0,1,1,High
936,10,0,215,1.06,1,10,10,21.5,4.7,52,2.86914503,5,0.731005309,37.64705882,2.352941176,0.148710323,0.041023537,0.123070612,0.076919132,0.009175996,0.08258396,0.022939989,4.31372549,45.49019608,13.187,53.484,11.29,11.188,10.171,14.4,12.644,31,342,0,4,12,829,5.840772,642,1,1,High
940,10,0,430,1.968,5,14,2.8,30.7,4.4,51.9,1.457048188,18,-0.106363636,37.06004141,1.6563147,0.406116821,0.055151667,0.100275758,0.140386062,0.008977064,0.080793572,0.022442659,4.761904762,48.03312629,13.484,52.429,13.719,14.73,9.858,16.4,12.928,46,635,0,3,2.7,105,9.476191,0,1,1,High
948,10,1,178,818,3,9,3,19.7,4.4,67.9,-0.48477156,4,0.393645847,31.18811881,0.99009901,0.129173291,0.064586645,0.049682035,0.059618442,0.008896401,0.080067613,0.022241004,2.97029703,52.47524752,10.981,68.241,8.765,9.151,8.799,11.6,10.528,17,254,0,3,2.11,62,9.967742,0,1,1,High
948,10,1,729,3.413,16,28,1.8,25.2,4.6,52.5,1.330447379,3,0,42.527339,1.336573512,0.498084291,0.052681992,0.07183908,0.186781609,0.008582218,0.081531068,0.021455544,9.234507898,35.72296476,11.114,67.403,8.162,7.856,8.99,11.2,10.655,84,1073,0,5,11,278,7.071942,0,1,1,High
950,10,1,182,845,3,12,4,15.1,4.5,65.4,1.150851456,5,0.004139241,39.70588235,1.470588235,0.14714957,0.009493521,0.023733802,0.061707884,0.008507742,0.080823549,0.021269355,4.411764706,44.11764706,11.208,63.144,8.282,7.181,9.339,10.8,10.746,24,280,0,5,3.1,43,5.651163,0,1,1,High
950,10,1,205,921,4,15,3.7,13.6,4.3,69.9,2.337960186,2,0,36.36363636,4.329004329,0.145690384,0.046996898,0.061095968,0.046996898,0.008424955,0.08003707,0.021062387,3.896103896,45.88744589,9.559,71.037,6.779,5.721,7.524,8.8,9.164,19,298,0,2,2.7,105,8.009523,0,1,1,High
950,10,1,158,771,1,8,8,19.7,4.7,58.2,-2.052447668,2,0,37.86982249,2.958579882,0.144616533,0.023325247,0.051315544,0.027990297,0.008365401,0.079471307,0.020913502,5.325443787,48.52071006,12.603,55.239,10.492,10.754,11.02,12.8,12.083,22,247,0,8,2.7,647,7.55796,0,1,1,High
950,10,0,119,505,1,5,5,23.8,4.1,68.9,2.23411591,8,0.120918575,28.57142857,0.751879699,0.069576511,0.032469038,0.041745907,0.037107473,0.008319122,0.079031654,0.020797804,2.255639098,54.88721805,10.794,67.003,10.025,9.672,6.712,12.4,10.348,9,167,0,2,8,244,7.881147,0,1,1,High
983,10,1,123,559,1,8,8,15.3,4.4,70.8,1.068451043,5,0,38.97058824,3.676470588,0.0968456,0.013835086,0.041505257,0.032281867,0.008272325,0.078587087,0.020680812,7.352941176,47.79411765,8.842,70.505,7.307,6.956,8.928,8.4,8.477,8,178,0,3,3.1,1038,7.341041,11,1,1,High
1008,10,1,118,560,1,13,13,9,4.5,70,1.157957058,7,0.120918575,33.10344828,0.689655172,0.077960194,0.022929469,0.032101257,0.032101257,0.008223008,0.078118576,0.02055752,6.896551724,40,9.075,69.616,6.075,4.231,7.933,8,8.701,13,183,0,12,11,2130,6.432864,0,1,1,High
1024,10,1,165,812,2,11,5.5,15,4.7,59.3,1.0091458,5,0.625,41.96891192,1.03626943,0.127423318,0.027304997,0.040957495,0.063711659,0.00815827,0.077503569,0.020395676,6.21761658,39.89637306,11.022,60.908,8.558,7.934,10.371,10.8,10.568,21,259,0,2,2.9,0,0,0,1,1,High
1186,9,1,207,993,5,12,2.4,17.2,4.6,57.7,7.633804378,7,0,35.26970954,0.414937759,0.130671833,0.022529626,0.072094805,0.103636282,0.00807885,0.076749071,0.020197124,4.979253112,45.64315353,12.01,59.585,9.399,8.515,9.445,12,11.515,29,328,0,4,5,177,6.915254,145,1,1,High
1238,9,1,116,559,3,10,3.3,11.6,4.6,71,1.256237701,3,0.120918575,34.35114504,3.053435115,0.07171029,0.053782718,0.008963786,0.062746504,0.008036324,0.084381404,0.02009081,4.580152672,48.09160305,8.842,72.977,6.012,6.104,9.254,7.6,8.477,10,170,0,2,8,857,6.43874,0,1,1,High
1294,9,1,139,640,1,9,9,15.4,4.5,67.6,1.232250843,9,0.008542902,40.64516129,3.870967742,0.1024362,0.004453748,0.017814991,0.04008373,0.007986583,0.087852408,0.019966456,7.096774194,42.58064516,9.387,71.924,6.73,6.431,8.225,8.8,9,12,201,0,15,3.9,829,8.382388,0,1,1,High
1323,10,0,119,536,1,8,8,14.8,4.3,69.4,-0.153175881,9,0,34.50704225,2.816901408,0.048722151,0.048722151,0.026575719,0.017717146,0.00794155,0.087357052,0.019853875,6.338028169,42.25352113,10.355,73.1,6.094,4.244,6.677,10,9.928,16,175,0,2,3.7,0,0,0,1,1,High
1379,9,1,154,775,4,4,1,38.5,4.8,32.6,0.823593394,2,0,42.62295082,3.278688525,0.145157034,0.013196094,0.017594792,0.074777866,0.007884259,0.090668979,0.019710648,1.639344262,43.16939891,15.021,46.588,13.096,14.1,11.688,16.4,14.402,26,243,0,2,7,381,6.593176,0,1,1,High
