Paragraphs,Sentences,Sentences per Paragraph,Nouns,Verbs,Adverbs,Adjectives,StopWords,BadgeCount,MemberSince,Past Reviews,Label
1,11,11,0.083573487,0.011527378,0.037463977,0.043227666,47.88135593,2,7,0,High
4,10,2.5,0.091590818,0.040070983,0.042933196,0.031484344,40.46692607,2,7,0,High
4,13,3.2,0.039900818,0.017100351,0.011400234,0.017100351,46.95121951,2,8,0,High
4,14,3.5,0.073756773,0.02836799,0.031204789,0.031204789,51.08695652,2,10,0,High
2,4,2,0.062183781,0.019785749,0.014132678,0.02543882,50,2,13,0,High
2,12,6,0.070363073,0.028145229,0.045032367,0.014072615,55.68862275,2,9,0,High
5,19,3.8,0.075497022,0.036350418,0.04194279,0.04194279,47.21189591,2,14,0,High
5,7,1.4,0.036263215,0.002789478,0.011157912,0.022315825,46.46464646,2,8,0,High
7,19,3.1,0.099384369,0.057974215,0.080059631,0.049692185,51.69902913,2,15,0,High
3,7,2.3,0.109748402,0.01371855,0.035668231,0.041155651,51.53846154,2,17,18,High
3,7,3.5,0.043757692,0.013674279,0.027348557,0.027348557,37.22627737,2,12,0,High
4,21,5.2,0.111516075,0.027199043,0.040798564,0.021759234,46.28820961,2,13,112,High
4,9,2.2,0.056873578,0.027082656,0.035207453,0.018957859,48.8372093,2,12,0,High
3,11,3.6,0.075492046,0.005392289,0.013480723,0.021569156,44.62365591,2,12,0,High
2,4,2,0.040317162,0.005375622,0.032253729,0.024190297,49.57983193,2,12,0,High
7,22,3.1,0.114456068,0.021294152,0.061220687,0.05323538,41.92037471,2,16,39,High
1,5,5,0.042513618,0.002657101,0.002657101,0.018599708,45.94594595,2,0,0,High
1,4,4,0.026525199,0.00795756,0.01061008,0.015915119,49.29577465,2,14,0,High
3,10,3.3,0.06070043,0.03166979,0.021113193,0.026391491,50.72463768,3,10,304,High
3,5,1.6,0.039487193,0.015794877,0.010529918,0.007897439,52.88461538,2,4.2,0,High
1,10,10,0.073384877,0.018346219,0.015725331,0.03407155,43.38624339,2,6,0,High
3,13,4.3,0.093720712,0.028636884,0.046860356,0.031240237,48.45360825,2,4.7,0,High
3,4,1.3,0.10623413,0.012955382,0.018137534,0.031092916,55.55555556,2,5,0,High
1,10,10,0.049042383,0.028392959,0.020649424,0.01290589,59.74842767,2,7,0,High
1,5,5,0.043704046,0.012854131,0.012854131,0.02056661,48.8372093,2,4.9,0,High
3,3,1,0.053807523,0.010249052,0.020498104,0.007686789,53.38345865,2,4.9,0,High
3,9,3,0.058645044,0.015298707,0.035696984,0.033147199,52.17391304,3,4.11,0,High
1,22,22,0.091178482,0.025327356,0.048121977,0.02279462,44.37086093,6,7,30,High
2,9,4.5,0.068051215,0.060489969,0.03780623,0.025204154,51.86915888,2,5,0,High
4,6,1.5,0.047730299,0.020096968,0.022609089,0.017584847,48.27586207,2,5,0,High
1,10,10,0.057456907,0.024981264,0.037471896,0.029977517,51.62601626,2,9,12,High
4,14,3.5,0.106707695,0.014889446,0.052113061,0.052113061,43.50649351,3,6,33,High
2,11,5.5,0.056860321,0.014833127,0.029666255,0.024721879,42.52873563,3,9,15,High
10,70,7.7,0.297194771,0.101481141,0.142556842,0.137724406,48.49340866,2,11,66,High
1,9,9,0.048162597,0.009632519,0.012040649,0.012040649,55.69620253,2,5,0,High
2,11,5.5,0.088686481,0.021572387,0.038350911,0.014381592,54.36893204,2,7,0,High
1,5,5,0.050173217,0.021502807,0.016724406,0.011946004,56.37583893,2,7,0,High
5,8,1.6,0.052392179,0.002381463,0.02619609,0.019051702,54.36241611,2,5,0,High
1,3,3,0.047469857,0.014240957,0.028481914,0.014240957,47.55244755,2,6,0,High
2,9,4.5,0.059135207,0.007096225,0.023654083,0.026019491,43.03797468,2,7,0,High
6,25,4.1,0.093947436,0.002348686,0.035230289,0.032881603,45.90643275,6,7,381,High
1,13,13,0.049168813,0.004682744,0.028096465,0.016389604,48.66666667,5,10,61,High
4,9,2.2,0.074571216,0.006991051,0.020973154,0.053598061,46.92982456,6,11,2369,High
11,16,1.6,0.08563229,0.020829476,0.027772635,0.030087021,52.97805643,2,7,0,High
1,19,19,0.105829844,0.023006488,0.023006488,0.046012976,50.87719298,17,9,0,High
1,7,7,0.057346026,0.016056887,0.02293841,0.009175364,58.86524823,2,8,86,High
7,39,6.5,0.17878157,0.054313388,0.119942066,0.072417851,49.16792738,2,9,35,High
1,9,9,0.063057382,0.004504099,0.022520494,0.040536889,43.22033898,3,9,212,High
5,8,1.6,0.071758533,0.013454725,0.020182087,0.022424541,44.49760766,2,1.9,0,High
7,23,3.2,0.254582485,0.039847693,0.068626583,0.086336669,44.83821263,2,3.5,0,Low
1,15,15,0.096920569,0.015419181,0.037446584,0.044054804,47.79116466,2,1.9,0,Low
8,38,4.7,0.422113583,0.034458252,0.103374755,0.195981306,35.20536463,2,1.9,0,High
1,7,7,0.062267838,0,0.025766002,0.021471668,48.46625767,3,2.7,0,Low
2,5,2.5,0.051388562,0.019270711,0.021411901,0.027835471,55.79710145,2,1.1,0,Low
2,5,2.5,0.03846647,0.002137026,0.010685131,0.010685131,41.17647059,2,1.1,0,High
10,21,2.1,0.269416965,0.029467481,0.082087981,0.128394022,44.51145959,3,3.3,0,Low
6,21,3.5,0.102437597,0.018815069,0.048082954,0.039720701,51.94444444,6,4.9,0,Low
12,43,3.5,0.266967861,0.067768765,0.098572749,0.110894342,51.93717277,4,2.1,20,High
5,5,1,0.04503398,0.008187996,0.018422992,0.018422992,52.38095238,8,2.5,0,Low
3,18,6,0.075287415,0.026452335,0.0406959,0.022382745,52,2,2.6,0,Low
1,2,2,0.038546591,0.018258911,0.028402751,0.016230143,58.2278481,2,8,0,High
5,11,2.2,0.066608804,0.026239832,0.024221383,0.036332075,44.48275862,6,3.4,0,Low
3,7,2.3,0.030191414,0.012076565,0.016102087,0.020127609,57.51633987,4,12,400,Low
1,5,5,0.040150968,0.004015097,0.026098129,0.030113226,39.71631206,0,2.7,0,High
2,8,4,0.054062713,0.008009291,0.010011613,0.026030195,38.41059603,0,3,0,Low
2,6,3,0.10951594,0.013938392,0.01792079,0.037832779,45.68690096,3,5,0,Low
1,6,6,0.049595302,0.005951436,0.025789557,0.027773369,46.85990338,2,6,0,High
6,21,4.2,0.137841404,0.015753303,0.035444932,0.053167399,40.50925926,4,16,299,Low
1,11,11,0.10582218,0.00195967,0.02743538,0.04507241,50,3,5,449,High
3,20,6.6,0.062419537,0.013654274,0.019506105,0.023407326,40.89219331,3,5,236,Low
12,23,2,0.259370977,0.026897731,0.074929393,0.117197256,42.05298013,2,17,0,Low
4,11,2.7,0.089819787,0.009555297,0.032488008,0.049687542,44.29967427,11,13,9466,High
3,20,6.6,0.062800921,0.011418349,0.022836699,0.024739757,44.8,11,14,9350,Low
2,7,3.5,0.087236867,0.001896454,0.007585815,0.04172198,37.43842365,37,3.1,1447,Low
5,27,5.4,0.13726965,0.022564874,0.080857465,0.04889056,45.15503876,5,0,257,High
6,20,3.3,0.072861787,0.016814258,0.046706274,0.065388783,45.22613065,6,11,208,Low
7,40,5.7,0.250170152,0.034950242,0.073579457,0.09749278,44.42060086,7,14,441,Low
4,19,4.7,0.131279059,0.025526484,0.06746285,0.043759686,46.05504587,3,8,4355,High
1,8,8,0.018210624,0.010926374,0.00728425,0.00728425,41.7721519,10,9,0,Low
12,34,2.8,0.237260717,0.026961445,0.048530601,0.071897187,42.66666667,4,2.8,940,Low
26,20,1,0.059003379,0.03039568,0.023243755,0.023243755,35.07692308,3,10,0,High
4,14,3.5,0.083505081,0.021320446,0.026650558,0.044417596,49.25,3,4.11,1600,Low
4,8,2,0.044328599,0.012412008,0.005319432,0.01773144,47.2,3,3.1,0,Low
3,8,2.6,0.05130201,0.012383244,0.017690348,0.019459383,41.55844156,5,1.3,0,High
3,7,2.3,0.031774612,0.005295769,0.008826281,0.017652562,50.74626866,3,11,14,Low
1,15,15,0.052766736,0.008794456,0.019347803,0.028142259,47.23404255,3,3.8,0,Low
4,9,2.2,0.070093049,0.010513957,0.003504652,0.035046524,38.1147541,2,0,0,High
4,4,1,0.05240907,0.013975752,0.019216659,0.010481814,52.65957447,4,0,0,Low
6,28,4.6,0.197006878,0.019009436,0.022465697,0.081222134,36.92307692,2,4.7,0,High
5,11,2.2,0.111722241,0.008594019,0.012031626,0.056720523,40.64327485,2,4.9,37,Low
6,21,3.5,0.142930066,0.047643355,0.086778969,0.066360388,51.58371041,2,6,0,Low
6,44,7.3,0.161665151,0.043784312,0.07578054,0.052204372,50.14285714,2,4.1,0,High
6,11,1.8,0.047031158,0.006718737,0.010078105,0.008398421,53.67231638,2,5,0,Low
2,22,11,0.148335806,0.023333722,0.016666944,0.038333972,47.99196787,2,4.11,0,Low
4,14,3.5,0.051474495,0.014944208,0.018265143,0.018265143,52.24489796,2,6,13,High
3,25,8.3,0.062848354,0.003307808,0.029770273,0.028116369,47.25274725,2,7,90,Low
6,12,2,0.04286256,0.01153992,0.01813416,0.01813416,47.51131222,2,6,16,Low
6,20,3.3,0.125827273,0.026145927,0.053925974,0.049023613,45.65916399,2,9,36,High
1,15,15,0.029347986,0.008152218,0.006521775,0.021195767,45.80645161,5,11,0,Low
6,31,5.1,0.145492168,0.021015535,0.04526423,0.053347128,48.55687606,3,10,31,Low
3,22,7.3,0.096300457,0.024075114,0.048150229,0.059385282,54.03726708,3,10,0,High
2,22,11,0.059152678,0.009592326,0.035171863,0.027178257,51.26353791,2,8,69,Low
1,14,14,0.070021325,0.017505331,0.035010662,0.031827875,45.76802508,2,10,85,Low
7,13,1.8,0.083931145,0.012668852,0.023754098,0.042757376,33.05084746,5,16,3821,High
13,62,4.7,0.185983996,0.039072268,0.06407852,0.079707427,44.76190476,2,2.1,111,Low
1,8,8,0.066896917,0.010890196,0.034226329,0.038893556,42.08860759,3,1.8,15,Low
6,3,1,0.02175129,0.010875645,0.010875645,0.007768318,50,6,1.1,0,High
1,8,8,0.032556121,0.004650874,0.012402332,0.020153789,43.39622642,4,3.8,0,Low
1,8,8,0.032487121,0.006188023,0.017017063,0.024752092,42.85714286,4,5,18,Low
3,15,5,0.050799711,0.024630163,0.040024014,0.04464217,45.82132565,5,8,84,High
1,14,14,0.029171081,0.01381788,0.038383001,0.01381788,53.64583333,2,1.11,0,Low
1,5,5,0.036771465,0.012257155,0.010725011,0.0137893,52.44755245,3,5,0,Low
1,5,5,0.039743805,0.010700255,0.013757471,0.013757471,45.12195122,2,1.11,0,High
9,39,4.8,0.222014136,0.028695705,0.043798707,0.087597414,42.88816504,2,5,23,Low
1,9,9,0.048168107,0.012042027,0.01806304,0.01806304,54.04255319,6,2.1,0,Low
1,7,7,0.037557839,0.004506941,0.015023136,0.022534703,47.85714286,2,2.1,0,High
1,10,10,0.050950069,0.011988252,0.014985314,0.016483846,45.40540541,3,2.11,0,Low
8,11,1.3,0.025437678,0.002992668,0.013467006,0.005985336,39.31623932,2,6,0,Low
3,16,5.3,0.067000179,0.017866714,0.025311179,0.032755643,46.07329843,3,2.1,0,High
1,9,9,0.051954992,0.014844283,0.011875427,0.022266425,51.37614679,3,2.2,0,Low
5,39,7.8,0.114890044,0.025040138,0.070701566,0.042715529,54.62478185,2,2,0,Low
3,10,3.3,0.030849689,0.004407098,0.024973557,0.016159361,43.5,2,2.2,0,High
1,8,8,0.027860463,0.00439902,0.008798041,0.017596082,40.71428571,4,7,0,Low
2,10,5,0.046801416,0.008775265,0.007312721,0.020475619,51.79487179,2,2.1,0,Low
3,26,8.6,0.094535829,0.008726384,0.021815961,0.030542345,39.09090909,2,5,0,High
1,11,11,0.066637694,0.01303781,0.021729683,0.026075619,48.66666667,3,2.2,0,Low
1,11,11,0.03757334,0.002890257,0.010115899,0.013006156,46.03174603,4,3.5,0,Low
3,6,2,0.021646583,0.001443106,0.008658633,0.01298795,38.73873874,3,2.1,0,High
2,7,3.5,0.017289572,0.005763191,0.010085583,0.011526381,51.2,3,2.4,0,High
1,12,12,0.034514,0.0086285,0.015818917,0.010066583,51.70068027,2,2.1,0,Low
4,10,2.5,0.024407052,0.005742836,0.01435709,0.007178545,47.28682171,2,2.2,0,High
3,42,21,0.070002,0.022857796,0.024286408,0.018571959,37.06467662,2,2.6,0,Low
6,8,1.3,0.015693436,0.011413408,0.009986732,0.009986732,47.78761062,2,2.2,0,Low
1,9,9,0.025638104,0.007121696,0.005697356,0.009970374,40,4,2.2,0,High
1,10,10,0.073741084,0.019853369,0.01276288,0.022689564,47.02549575,2,2.2,0,Low
4,5,1.2,0.021235029,0.007078343,0.007078343,0.00990968,53.48837209,2,2.2,0,Low
1,3,3,0.021187937,0.011300233,0.008475175,0.011300233,45.34883721,2,3.1,0,High
1,9,9,0.033842379,0.002820198,0.007050496,0.009870694,50.37037037,3,3,0,Low
3,12,4,0.047770924,0.008430163,0.016860326,0.029505571,55.39568345,2,2.3,0,Low
1,7,7,0.028043804,0.00280438,0.00140219,0.026641614,46.71052632,6,2.4,0,High
1,5,5,0.029387892,0.005597694,0.016793081,0.005597694,47.2972973,2,2.7,0,Low
1,8,8,0.044702102,0.002793881,0.002793881,0.006984703,44.13793103,6,6,0,Low
5,6,1.2,0.037645878,0.004182875,0.012548626,0.019520085,45.22292994,35,10,0,High
2,13,6.5,0.048621241,0.004167535,0.027783566,0.026394388,47.9020979,2,0,143,Low
3,4,1.3,0.018033765,0.005548851,0.005548851,0.015259339,33.33333333,4,7,2528,Low
6,31,5.1,0.153789117,0.012358054,0.020596757,0.078267675,34.46191052,3,10,459,High
1,3,3,0.021931328,0,0.009594956,0.00685354,45.86466165,5,4.2,1973,Low
5,13,2.6,0.053309276,0.013669045,0.020503568,0.020503568,49.36708861,10,12,977,Low
1,7,7,0.063937749,0.010883021,0.025847175,0.024486798,49.33687003,5,5,322,High
5,28,5.6,0.129586134,0.022947545,0.022947545,0.059393645,41.71779141,11,5,340,Low
5,18,3.6,0.106021768,0.009394334,0.030867097,0.050997812,43.1211499,8,9,218,High
1,9,9,0.026785595,0.009374958,0.013392797,0.020089196,55.62130178,15,15,3208,Low
3,16,8,0.086589314,0.017317863,0.031971439,0.042628585,50.57471264,4,6,325,Low
4,24,6,0.138621181,0.031684841,0.043566657,0.062049481,49.26372155,3,13,371,High
7,28,4,0.106159895,0.023591088,0.056356488,0.04587156,49.4488189,6,14,809,Low
1,13,13,0.040508049,0.007840268,0.018293958,0.027440937,45.59386973,5,10,276,Low
1,5,5,0.024779915,0.003912618,0.019563091,0.013042061,47.27272727,8,18,553,High
8,19,2.3,0.055788367,0.014271443,0.02984029,0.044111732,46.99331849,2,12,154,Low
4,7,2.3,0.024609805,0.005181012,0.001295253,0.003885759,41.05960265,7,12,307,Low
1,25,25,0.065686098,0.015455552,0.039926844,0.036062956,49.89384289,3,10,145,High
4,6,2,0.033410434,0.00385505,0.006425084,0.017990234,54.04040404,2,8,115,Low
1,10,10,0.034606068,0.011535356,0.017943887,0.01025365,47.92626728,2,13,0,Low
6,15,2.5,0.071478716,0.010211245,0.019146085,0.025528113,42.46575342,2,9,0,High
10,33,3.3,0.101259414,0.025314853,0.025314853,0.039238023,45.93837535,8,14,13750,Low
3,19,6.3,0.127930165,0.033863867,0.072744604,0.087795211,48.82860666,7,12,85,Low
1,10,10,0.062507813,0.008751094,0.013751719,0.021252657,38.01369863,4,12,185,High
5,5,1,0.022472191,0.001248455,0.00998764,0.01248455,52,3,17,102,Low
2,6,3,0.028652581,0.008720351,0.016194937,0.018686466,44.44444444,2,13,0,Low
1,4,4,0.006223937,0.002489575,0.007468725,0.003734362,45.20547945,3,16,33,High
8,21,3,0.105051104,0.01853843,0.043256337,0.058087081,43.22289157,5,12,2274,Low
1,4,4,0.027153119,0,0.001234233,0.013576559,38.52459016,1,0,0,Low
